MACRO;UF;REGIAO_TURISTICA;MUNICIPIO;CODIGO_MUNICIPIO;QUANTIDADE_EMPREGOS;QUANTIDADE_ESTABELECIMENTOS;QUANTIDADE_VISITAS_ESTIMADA_INTERNACIONAL;QUANTIDADE_VISITAS_ESTIMADA_NACIONAL;CLUSTER
Nordeste;PI;NA;São João da Varjota;2209955;0;0;0;0;E
Norte;PA;Amazônia Atlântica;Ipixuna do Pará;1503457;3;3;0;0;D
Norte;PA;NA;Faro;1503002;0;0;0;0;E
Nordeste;PE;NA;Lajedo;2608800;5;0;0;3818;D
Nordeste;PE;NA;Moreno;2609402;16;1;0;11453;D
Sul;PR;NA;Sarandi;4126256;107;4;0;9544;D
Nordeste;RN;Polo Serrano;Apodi;2401008;9;4;0;82080;C
Centro-O;GO;Região da Estrada de Ferro;Bonfinópolis;5203559;0;1;0;3818;D
Sul;PR;Vales do Iguaçu;Salgado Filho;4122800;0;0;0;0;E
Sudeste;SP;NA;Canitar;3510153;0;0;0;0;E
Sudeste;MG;Ouro;Mariana;3140001;170;24;0;36268;C
Nordeste;MA;NA;Milagres do Maranhão;2106672;0;0;0;0;E
Centro-O;MT;NA;Alto Taquari;5100607;20;6;0;0;D
Nordeste;MA;NA;Matinha;2106508;3;1;0;9544;D
Norte;PA;Tapajós;Jacareacanga;1503754;26;4;0;3818;D
Sudeste;MG;Vale Verde - Quedas DÁgua;Lavras;3138203;186;15;0;17180;C
Sul;PR;NA;Xambrê;4128807;0;0;0;0;E
Nordeste;MA;NA;São Domingos do Maranhão;2110708;0;0;0;3818;D
Sul;RS;NA;Toropi;4321493;0;0;0;0;E
Nordeste;PB;NA;Quixabá;2512606;0;0;0;0;E
Nordeste;BA;NA;Pojuca;2925204;66;8;0;55356;C
Norte;RO;BR-364/ Caminhos de Rondon;Cacoal;1100049;200;18;0;93533;C
Sul;MS;Bonito / Serra da Bodoquena;Bela Vista;5002100;9;3;0;1909;D
Sul;SC;NA;São Miguel da Boa Vista;4217154;0;0;0;0;E
Sudeste;SP;NA;Lavínia;3526506;0;0;0;74445;D
Norte;PA;NA;Rondon do Pará;1506187;24;4;0;0;D
Nordeste;PB;NA;Itaporanga;2507002;23;4;0;26724;D
Norte;PA;Tapajós;Óbidos;1505106;13;6;0;38177;D
Sul;RS;Uva e Vinho;Coronel Pilar;4305934;0;0;0;0;E
Norte;PA;Tapajós;Novo Progresso;1505031;25;13;0;0;C
Sudeste;SP;NA;Cruzeiro;3513405;78;16;0;0;C
Norte;PA;Amazônia Atlântica;Paragominas;1505502;237;20;0;34359;C
Norte;PA;NA;Ourilândia do Norte;1505437;57;21;0;7635;C
Nordeste;MA;Polo Delta das Américas;Paulino Neves;2108058;0;0;0;0;E
Norte;PA;Amazônia Atlântica;Peixe-Boi;1505601;1;0;0;9544;D
Nordeste;BA;NA;Serra Dourada;2930303;0;0;0;0;E
Nordeste;MA;NA;Presidente Juscelino;2109205;0;0;0;1909;D
Nordeste;PB;NA;Areial;2501203;0;0;0;0;E
Sul;SC;Caminhos do Alto Vale;Atalanta;4201802;0;0;0;0;E
Norte;TO;Bico do Papagaio;Ananás;1701002;0;1;0;0;D
Nordeste;RN;NA;Governador Dix-Sept Rosado;2404309;7;0;0;28633;D
Sul;PR;Corredores das Águas;São Jorge do Ivaí;4125308;0;0;0;3818;D
Nordeste;PI;NA;Canavieira;2202251;0;0;0;0;E
Norte;PA;NA;Rio Maria;1506161;18;3;0;17180;D
Nordeste;PB;NA;Riachão;2512747;0;0;0;0;E
Nordeste;PE;NA;Araçoiaba;2601052;0;0;0;0;E
Nordeste;PB;NA;São José do Bonfim;2514602;0;0;0;0;E
Centro-O;GO;NA;Iaciara;5209903;2;4;0;0;D
Nordeste;BA;NA;Coribe;2909109;0;0;0;5727;D
Nordeste;PE;NA;São José da Coroa Grande;2613404;6;3;0;272964;C
Nordeste;PB;NA;São Bento;2513901;4;1;0;0;D
Sul;PR;Lagos e Colinas;Pinhão;4119301;13;3;0;7635;D
Nordeste;RN;NA;Messias Targino;2407609;0;0;0;0;E
Norte;PA;NA;Quatipuru;1506112;0;0;0;0;E
Sul;RS;Alto da Serra do Botucaraí;Soledade;4320800;34;8;0;19088;D
Nordeste;MA;NA;São Bento;2110500;0;0;0;26724;D
Nordeste;PB;NA;Junco do Seridó;2507804;0;0;0;22906;D
Sul;PR;Ecoaventuras Histórias e Sabores;Peabiru;4118808;1;1;0;3818;D
Nordeste;PI;NA;Santo Inácio do Piauí;2209500;0;0;0;0;E
Nordeste;RN;Polo Serrano;Riacho da Cruz;2410702;0;1;0;5727;D
Nordeste;PI;NA;São Braz do Piauí;2209559;0;0;0;7635;D
